fecha,tipo,gravedad,lat,lon,comuna,victimas,fuente
2025-10-08 19:22:24,Caída,1,6.17197,-75.619326,Belen,0,DatosAbiertos
2026-04-19 20:53:57,Caída,1,6.163248,-75.567842,Comuna 3,0,DatosAbiertos
2025-08-21 14:38:36,Caída,2,6.231492,-75.609258,Comuna 2,2,DatosAbiertos
2026-03-22 06:44:27,Caída,1,6.185537,-75.579136,El Poblado,0,DatosAbiertos
2026-01-15 17:39:49,Caída,2,6.340594,-75.548666,Comuna 1,3,Medata
2026-01-31 13:53:50,Choque,1,6.214582,-75.535817,Centro,0,DatosAbiertos
2025-12-24 21:57:06,Caída,2,6.229671,-75.606352,Laureles,1,Medata
2025-10-30 02:40:49,Atropello,1,6.214848,-75.575853,Comuna 3,0,Medata
2026-02-19 15:13:38,Atropello,2,6.278263,-75.565005,El Poblado,3,DatosAbiertos
2025-11-03 05:31:08,Choque,1,6.211627,-75.60444,Belen,0,Observatorio
2025-11-03 09:30:23,Atropello,1,6.144367,-75.632476,El Poblado,0,Observatorio
2026-02-12 01:44:45,Choque,2,6.293669,-75.631607,Comuna 2,1,DatosAbiertos
2025-06-29 03:09:11,Choque,1,6.338113,-75.543466,Robledo,0,Medata
2026-04-25 12:26:48,Choque,1,6.241336,-75.595414,Laureles,0,Medata
2025-08-09 13:18:14,Caída,1,6.281511,-75.624216,Robledo,0,DatosAbiertos
2025-08-05 12:53:16,Caída,1,6.290956,-75.542329,Comuna 2,0,DatosAbiertos
2025-12-30 15:15:59,Atropello,1,6.132597,-75.610116,Belen,0,Medata
2026-01-18 08:07:06,Atropello,1,6.210815,-75.530052,Belen,0,DatosAbiertos
2025-09-26 00:26:02,Volcamiento,1,6.203146,-75.609513,Belen,0,Medata
2025-10-02 03:57:36,Atropello,1,6.175252,-75.533479,Belen,0,Medata
2026-03-20 11:46:53,Caída,2,6.144132,-75.55409,Comuna 3,1,DatosAbiertos
2025-06-01 06:37:05,Caída,1,6.203383,-75.632902,Robledo,0,Medata
2026-03-10 21:12:38,Atropello,3,6.255304,-75.574065,Comuna 5,2,DatosAbiertos
2025-06-05 22:28:45,Caída,1,6.190962,-75.558267,Comuna 5,0,DatosAbiertos
2026-04-19 16:09:16,Volcamiento,1,6.246925,-75.623888,Comuna 2,0,Observatorio
2026-04-14 10:14:20,Atropello,1,6.237462,-75.644859,Comuna 5,0,DatosAbiertos
2026-03-24 16:32:02,Caída,1,6.285084,-75.538472,Comuna 4,0,Observatorio
2025-07-03 09:59:43,Volcamiento,2,6.163708,-75.646015,Comuna 1,1,Medata
2026-04-09 05:33:51,Volcamiento,1,6.222311,-75.556698,Comuna 2,0,DatosAbiertos
2025-07-02 23:05:49,Choque,1,6.257195,-75.583281,Comuna 1,0,Observatorio
2026-04-17 22:39:00,Atropello,2,6.298634,-75.538227,Comuna 2,2,DatosAbiertos
2025-10-05 19:29:30,Caída,2,6.287976,-75.547359,Comuna 1,1,Medata
2026-03-11 06:39:24,Volcamiento,2,6.307808,-75.536822,Belen,1,DatosAbiertos
2025-06-15 06:18:41,Caída,1,6.182248,-75.546496,Belen,0,DatosAbiertos
2026-04-15 07:51:11,Choque,1,6.220479,-75.635223,Comuna 5,0,Observatorio
2025-09-07 21:10:13,Caída,1,6.340145,-75.552567,Centro,0,Medata
2025-12-10 12:19:06,Volcamiento,2,6.142477,-75.582888,Belen,3,Medata
2026-02-21 17:26:16,Caída,1,6.328608,-75.59345,Comuna 4,0,Observatorio
2026-05-28 17:00:44,Choque,1,6.344986,-75.624169,Comuna 2,0,DatosAbiertos
